OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT,METADATA URL
acs_b17020e_povertyagehawaiianpi,acs_b17020e_povertyagehawaiianpi,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Age (Native Hawaiian And Other Pacific Islander Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020e_povertyagehawaiianpi
acs_b17020f_povertyageotherraces,acs_b17020f_povertyageotherraces,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Age (Some Other Race Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020f_povertyageotherraces
acs_b17020g_povertyage2races,acs_b17020g_povertyage2races,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Age (Two Or More Races) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020g_povertyage2races
acs_b17020h_povertyagewhitenothisp,acs_b17020h_povertyagewhitenothisp,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Age (White Alone; Not Hispanic Or Latino) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020h_povertyagewhitenothisp
acs_b17020i_povertyagehispanic,acs_b17020i_povertyagehispanic,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Age (Hispanic Or Latino) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020i_povertyagehispanic
acs_b17024_ageratioincometopoverty,acs_b17024_ageratioincometopoverty,census,2013-2017 ACS: Age By Ratio Of Income To Poverty Level In The Past 12 Months (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17024_ageratioincometopoverty
acs_b19001_householdincome,acs_b19001_householdincome,census,2013-2017 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001_householdincome
acs_b19001a_householdincomewhite,acs_b19001a_householdincomewhite,census,2013-2017 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (White Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001a_householdincomewhite
acs_b19001b_householdincomeblack,acs_b19001b_householdincomeblack,census,2013-2017 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Black Or African American Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001b_householdincomeblack
acs_b19001c_householdincomeamerind,acs_b19001c_householdincomeamerind,census,2013-2017 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (American Indian And Alaska Native Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001c_householdincomeamerind
