excise_tax_nbr,major,minor,sale_date,sale_month,sale_year,sale_price,year_built,year_renovated,lon,lat
2967483,259183,260,2018-12-18,12,2018,615000,1987,0,-122.160379,47.4402272
2924840,234550,130,2018-04-10,4,2018,340000,1981,0,-122.3059457,47.2764909
2928431,328480,5,2018-04-24,4,2018,225000,1925,1991,-122.2375147,47.3084475
2936260,891420,200,2018-06-13,6,2018,631000,1992,0,-122.3320926,47.3335601
2940297,272205,9275,2018-06-22,6,2018,675000,1984,0,-122.1626631,47.3690332
2956504,637950,795,2018-09-28,9,2018,630000,1914,0,-122.3909523,47.5816263
2929392,537980,6275,2018-05-08,5,2018,350000,1956,0,-122.2813872,47.4454071
2963265,175040,390,2018-11-16,11,2018,610000,1991,0,-122.1510829,47.4804261
2931923,242006,9356,2018-05-17,5,2018,330793,1938,0,-121.9868173,47.2074096
2931923,242006,9356,2018-05-17,5,2018,330793,1936,0,-121.9868173,47.2074096
2968076,509210,260,2018-12-18,12,2018,439000,1963,0,-122.3094206,47.38330250000001
2937621,138730,1550,2018-06-18,6,2018,570000,1975,0,-122.193799,47.7382478
2931421,98421,640,2018-05-14,5,2018,450000,1974,0,-122.1672608,47.437123
2937353,193030,1530,2018-06-19,6,2018,1090000,1920,0,-122.3541801,47.6559763
2962519,555780,240,2018-11-14,11,2018,385000,1964,0,-122.3363919,47.321616
2962333,164650,205,2018-10-30,10,2018,560000,1909,0,-122.3571734,47.6838396
2936202,386040,191,2018-06-04,6,2018,3388240,2015,0,-122.2000277,47.59141040000001
2928023,932610,160,2018-04-27,4,2018,390000,1974,0,-122.0567279,47.2313064
2933820,531710,482,2018-05-08,5,2018,2500000,1974,0,-122.2846402,47.6263579
2952200,408380,650,2018-09-06,9,2018,725000,1916,0,-122.3381411,47.6641115
2932658,768620,2730,2018-05-25,5,2018,315000,1954,0,-122.3175764,47.4214435
2955447,241460,345,2018-09-24,9,2018,380000,1952,0,-122.3369723,47.51078620000001
2952493,510140,4164,2018-08-29,8,2018,740000,1942,0,-122.307123,47.696008
